Index,Image,Score
0,game_0830.jpg,1.3
1,game_1109.jpg,3.3
2,movie_0298.jpg,2.1
3,movie_1625.jpg,3.0
4,movie_1682.jpg,3.7
5,movie_2412.jpg,3.3
6,game_0862.jpg,3.4
7,game_2862.jpg,0.4
8,game_1795.jpg,3.3
9,game_2897.jpg,3.0
10,movie_1435.jpg,3.4
11,game_0838.jpg,2.8
12,game_2193.jpg,1.7
13,movie_0018.jpg,2.1
14,movie_1824.jpg,3.6
15,game_0037.jpg,2.8
16,game_1164.jpg,1.0
17,movie_0457.jpg,1.9
18,movie_0576.jpg,2.9
19,movie_1462.jpg,1.7
20,game_1724.jpg,1.2
21,game_1009.jpg,4.0
22,game_1407.jpg,2.3
23,game_2142.jpg,1.8
24,movie_2715.jpg,4.0
25,game_1550.jpg,2.2
26,game_1323.jpg,2.0
27,game_1887.jpg,1.0
28,game_1599.jpg,2.9
29,movie_2906.jpg,2.1
30,game_1770.jpg,3.1
31,movie_0023.jpg,3.2
32,game_1867.jpg,2.5
33,movie_1843.jpg,1.2
34,game_0600.jpg,1.1
35,game_2012.jpg,2.8
36,movie_0755.jpg,3.3
37,movie_0666.jpg,1.6
38,game_0122.jpg,1.7
39,movie_0497.jpg,3.0
40,game_0798.jpg,3.8
41,game_0437.jpg,1.7
42,game_2732.jpg,2.3
43,movie_1730.jpg,3.1
44,game_1253.jpg,2.6
45,game_0499.jpg,1.9
46,movie_0301.jpg,2.2
47,game_2733.jpg,3.5
48,movie_2928.jpg,4.2
49,movie_0812.jpg,4.1
50,movie_0341.jpg,2.7
51,game_1920.jpg,2.2
52,movie_0848.jpg,3.5
53,movie_2739.jpg,4.5
54,game_0947.jpg,2.3
55,game_2528.jpg,2.7
56,movie_1981.jpg,2.7
57,game_2335.jpg,2.0
58,movie_1711.jpg,3.6
59,game_1810.jpg,1.7
60,movie_0148.jpg,2.1
61,game_2538.jpg,2.1
62,movie_1830.jpg,2.5
63,game_1991.jpg,1.7
64,game_2649.jpg,2.8
65,movie_0869.jpg,3.2
66,movie_2057.jpg,3.4
67,game_0269.jpg,2.3
68,movie_1331.jpg,2.3
69,movie_2744.jpg,4.4
70,movie_2347.jpg,3.8
71,game_2047.jpg,2.2
72,game_2864.jpg,3.1
73,movie_1430.jpg,2.7
74,movie_0303.jpg,3.3
75,game_2441.jpg,1.8
76,movie_0266.jpg,3.0
77,movie_2029.jpg,3.2
78,movie_1896.jpg,3.2
